iter	Passed	Remaining
969	101694	3145
970	101764	3039
971	101853	2934
972	101915	2828
973	101996	2722
974	102070	2617
975	102149	2511
976	102224	2406
977	102295	2301
978	102377	2196
979	102441	2090
980	102515	1985
981	102601	1880
982	102683	1775
983	102752	1670
984	102827	1565
985	102896	1461
986	102963	1356
987	103027	1251
988	103090	1146
989	103150	1041
990	103223	937
991	103309	833
992	103374	728
993	103446	624
994	103517	520
995	103603	416
996	103674	311
997	103726	207
998	103806	103
999	103878	0
